Angular Second Moment,Inverse Difference Moment,Contrast,Energy,Entropy,Homogeneity,Variance,Shade,Prominence,Inertia,Correlation,16 Area,16 Mean,16 StdDev,16 Mode,16 Min,16 Max,16 Median,16 Skew,16 Kurt,8 Area,8 Mean,8 StdDev,8 Mode,8 Min,8 Max,8 Median,8 Skew,8 Kurt,Class
0.003,0.10675,115.67525,0.003,5.93175,0.1925,87.038,144.625,172609.4955,115.67525,0.00375,392.445,93.806,15.119,93,53,141,93,0.058,-0.112,392.445,162.028,9.673,162,136,192,162,0.05,-0.131,C
0.00375,0.0855,182.30675,0.00375,5.66025,0.16325,203.6095,-8358.5305,1573265.73,182.30675,0.0025,213.56,95.224,22.045,84,4,152,97,-0.407,0.755,213.56,162.936,14.1,156,105,199,164,-0.396,0.726,C
0.0055,0.09675,184.1525,0.0055,5.24725,0.17625,163.584,-2845.909,812347.827,184.1525,0.0025,147.488,83.435,20.025,81,16,138,84,-0.212,0.801,147.488,155.448,12.797,153,112,190,156,-0.221,0.828,C
0.003,0.09725,188.7935,0.003,5.78225,0.17675,156.23175,-3456.87675,663654.1515,188.7935,0.0025,428.609,64.355,17.826,71,3,127,65,-0.26,0.426,428.609,130.726,12.664,130,87,175,131,-0.258,0.412,C
0.004,0.106,136.153,0.004,5.6515,0.19025,112.08325,1372.3365,377297.64,136.153,0.00375,242.093,83.656,17.056,75,29,152,83,0.191,0.403,242.093,155.55,10.872,156,121,199,155,0.194,0.383,C
0.002,0.10675,124.372,0.002,6.4745,0.19125,190.0085,-2936.71725,1270134.997,124.372,0.00375,781.09,45.599,21.818,32,-23,117,46,-0.112,0.08,781.09,131.267,13.925,140,87,177,132,-0.115,0.087,C
0.0045,0.074,260.66025,0.0045,5.4225,0.1485,159.3725,-793.32225,420006.319,260.66025,0.00119915,215.828,81.488,20.671,90,27,138,82,-0.101,-0.327,215.828,154.164,13.211,160,119,190,154,-0.105,-0.335,C
0.00425,0.13475,73.334,0.00425,5.57025,0.22575,112.75625,-3833.326,602667.4893,73.334,0.006,303.987,65.867,16.427,66,4,115,66,-0.416,1.125,303.987,144.197,10.492,144,105,176,144,-0.409,1.144,C
0.003,0.11625,103.887,0.003,6.033,0.2035,86.34425,-839.608,190205.322,103.887,0.00475,481.785,68.788,14.57,66,14,112,69,-0.196,0.159,481.785,146.057,9.309,147,111,174,146,-0.192,0.172,C
0.003,0.0975,153.337,0.003,5.87225,0.18,115.9305,-274.917,271177.6233,153.337,0.003,250.653,100.554,16.824,106,55,149,101,-0.056,-0.144,250.653,166.347,10.765,163,137,197,167,-0.069,-0.118,C
0.0045,0.21025,31.25475,0.0045,5.6215,0.3035,50.526,-780.869,102460.0573,31.25475,0.01375,248.681,113.966,11.652,115,72,142,115,-0.289,0.389,248.681,170.465,7.187,172,145,188,171,-0.285,0.403,C
0.005,0.13375,79.431,0.005,5.44625,0.22325,79.69125,-408.09625,159394.3515,79.431,0.00625,203.817,90.994,14.089,94,56,129,92,0.009,-0.316,203.817,160.239,8.991,162,138,184,161,0.012,-0.315,C
0.00675,0.08775,198.38875,0.00675,5.005,0.1665,153.22025,1457.822,593548.333,198.38875,0.00225,162.308,57.294,20.428,57,11,112,56,0.344,0.015,162.308,138.754,13.034,135,109,174,138,0.332,0.003,C
0.002,0.07425,315.84225,0.002,6.44375,0.1455,290.4395,-663.968,2150386.399,315.84225,0.0015,493.285,137.465,24.312,130,58,205,138,-0.057,-0.071,493.285,182.574,17.242,191,126,230,183,-0.06,-0.074,C
0.00925,0.162,60.45175,0.00925,4.78525,0.25225,60.7595,692.23925,106453.2905,60.45175,0.00875,87.506,94.571,11.807,88,61,138,95,0.612,1.655,87.506,162.525,7.514,163,141,190,163,0.576,1.623,C
0.002,0.10275,153.87925,0.002,6.61825,0.1845,201.8695,2226.36775,1578393.555,153.87925,0.003,639.806,49.172,19.865,41,-15,122,49,0.1,0.334,639.806,134.314,14.491,128,88,187,134,0.101,0.331,C
0.003,0.106,138.477,0.003,5.96075,0.1895,294.23275,-14733.56175,3886459.382,138.477,0.0025,325.986,69.108,28.335,84,-23,153,69,-0.279,0.236,325.986,146.273,18.086,146,87,200,146,-0.283,0.241,C
0.0025,0.10725,128.8335,0.0025,6.10625,0.1915,142.96725,674.891,795427.5755,128.8335,0.004,402.642,53.006,19.68,50,-9,130,53,0.139,0.684,402.642,135.98,12.566,137,96,185,136,0.132,0.677,C
0.002,0.10875,107.43425,0.002,6.31825,0.1965,83.90525,-550.569,172597.6445,107.43425,0.00425,545.807,94.499,14.401,93,45,143,94,-0.146,0.346,545.807,162.462,9.203,162,131,193,162,-0.154,0.337,C
0.004,0.10875,127.81625,0.004,5.554,0.1945,93.47025,317.747,221576.9935,127.81625,0.003175025,240.271,94.997,15.127,91,42,141,95,0.039,0.472,240.271,162.776,9.678,163,129,192,163,0.029,0.447,C
0.00125,0.06725,355.72925,0.00125,6.605,0.13525,294.4915,-6129.29475,2143175.725,355.72925,0.0011755,483.459,70.397,26.959,64,-24,151,71,-0.224,0.116,483.459,147.089,17.221,142,87,199,147,-0.221,0.108,C
0.003,0.14225,75.14675,0.003,5.87725,0.2325,131.58875,-4653.36525,742096.456,75.14675,0.00525,478.403,66.753,16.049,67,2,110,67,-0.326,0.236,478.403,132.584,11.722,133,85,164,133,-0.325,0.256,C
0.00125,0.081,267.51425,0.00125,6.65175,0.1555,203.86325,-4003.36725,1087353.834,267.51425,0.00184115,571.014,79.807,22.478,86,7,146,80,-0.155,0.225,571.014,153.094,14.343,151,107,195,153,-0.149,0.218,C
